"ID","Fecha registro","Estado","Municipio","Fecha hechos","Lugar hechos","Modalidad violencia","Conoce agresor","Hubo drogas","Hubo armas","Violencia Física","Violencia Psicológica","Violencia Sexual","Violencia Patrimonial","Violencia Económica","Violencia Otra"
"1407725","2023-03-15","Aguascalientes","Aguascalientes","2023-02-20","Espacio público","4 - En la comunidad","SI","NO","NO","1","1","0","0","1","0"
"1407726","2023-01-02","Aguascalientes","Aguascalientes","2022-12-30","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1407727","2023-02-09","Aguascalientes","Jesús María","2022-10-03","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1407728","2023-03-31","Aguascalientes","Jesús María","2023-03-22","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","1","1","1","0"
"1407729","2023-02-02","Aguascalientes","Aguascalientes","2023-01-30","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1407731","2023-02-02","Aguascalientes","San José de Gracia","2022-10-13","Espacio particular","1 - Familiar","SI","SI","Desconocido","1","1","1","1","1","0"
"1407733","2023-02-02","Aguascalientes","Aguascalientes","2022-12-09","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1407734","2023-01-12","Aguascalientes","Jesús María","2023-01-09","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","1","0","0","0","0","0"
"1407736","2023-01-03","Aguascalientes","Aguascalientes","2022-12-07","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1407737","2023-01-04","Aguascalientes","Aguascalientes","2022-12-02","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1407739","2023-02-02","Aguascalientes","Aguascalientes","2023-01-08","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1407740","2023-01-31","Aguascalientes","San José de Gracia","2022-11-11","Espacio particular","1 - Familiar","SI","SI","SI","0","1","0","0","0","0"
"1407741","2023-01-27","Aguascalientes","San José de Gracia","2022-11-23","Espacio particular","1 - Familiar","SI","SI","NO","1","1","0","0","0","0"
"1407742","2023-01-26","Aguascalientes","San José de Gracia","2022-11-25","Espacio particular","1 - Familiar","SI","NO","NO","0","1","0","0","0","0"
"1407744","2023-01-31","Aguascalientes","Jesús María","2023-01-20","Espacio particular","1 - Familiar","SI","SI","NO","1","1","0","0","1","0"
"1407745","2023-01-10","Aguascalientes","Aguascalientes","2023-01-05","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","1"
"1407746","2023-01-02","Aguascalientes","Aguascalientes","2022-12-30","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","1","1","0","0","0","0"
