ID,Fecha registro,Estado,Municipio,Fecha hechos,Lugar hechos,Modalidad violencia,Conoce agresor,Hubo drogas,Hubo armas,Violencia Física,Violencia Psicológica,Violencia Sexual,Violencia Patrimonial,Violencia Económica,Violencia Otra
1415620,23/01/2023,Colima,Manzanillo,12/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,1,1,0
1415621,26/01/2023,Colima,Ciudad de Armerí­a,24/01/2023,Espacio particular,1 - Familiar,SI,SI,Desconocido,1,1,0,0,0,0
1415622,13/02/2023,Colima,Manzanillo,02/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,0,1,1,0
1415624,17/02/2023,Colima,Ciudad de Armerí­a,06/02/2023,Espacio particular,4 - En la comunidad,NO,Desconocido,Desconocido,0,1,0,0,0,0
1415625,06/03/2023,Colima,Manzanillo,12/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,0,0,0,0
1415627,18/01/2023,Colima,Manzanillo,01/12/2021,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1415628,27/03/2023,Colima,Manzanillo,21/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,1,0,0,0
1415630,06/03/2023,Colima,Manzanillo,03/03/2023,Espacio particular,1 - Familiar,SI,NO,NO,1,1,1,1,1,0
1415632,18/01/2023,Colima,Manzanillo,07/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1415633,18/01/2023,Colima,Colima,03/01/2023,Espacio particular,1 - Familiar,SI,NO,NO,1,1,0,1,1,0
1416469,03/02/2023,Colima,Cuauhtémoc,01/02/2023,Espacio particular,1 - Familiar,SI,NO,NO,0,1,0,0,0,0
1417014,14/02/2023,Colima,Colima,02/07/2018,Espacio particular,1 - Familiar,SI,SI,Desconocido,0,1,1,0,0,0
1417606,09/01/2023,Colima,Manzanillo,13/06/2022,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,0,1,1,0
1418032,02/03/2023,Colima,Ciudad de Villa de ílvarez,21/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1418566,13/01/2023,Colima,Colima,12/01/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1418645,08/02/2023,Colima,Ciudad de Villa de ílvarez,03/02/2023,Espacio particular,1 - Familiar,SI,SI,Desconocido,1,1,0,0,1,0
1418832,13/03/2023,Colima,Tecomán,10/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1419159,16/02/2023,Colima,Colima,14/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1419279,13/03/2023,Colima,Colima,12/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1419436,16/02/2023,Colima,Manzanillo,16/02/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1420190,28/02/2023,Colima,Colima,22/02/2023,Espacio particular,1 - Familiar,SI,SI,Desconocido,0,1,0,0,1,0
1420628,31/03/2023,Colima,Manzanillo,31/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1420867,17/02/2023,Colima,Ciudad de Armerí­a,11/12/2022,Espacio particular,4 - En la comunidad,SI,SI,Desconocido,1,1,0,0,0,0
1420908,21/02/2023,Colima,Tecomán,18/02/2023,Espacio particular,1 - Familiar,SI,SI,NO,1,1,1,0,1,0
1421492,27/03/2023,Colima,Colima,14/03/2023,Espacio particular,1 - Familiar,SI,SI,SI,1,1,0,1,0,0
1422144,10/02/2023,Colima,Comala,22/01/2023,Espacio particular,1 - Familiar,SI,SI,NO,0,1,0,0,0,0
1422355,11/01/2023,Colima,Manzanillo,01/12/2022,Espacio público,1 - Familiar,SI,Desconocido,Desconocido,1,1,1,1,1,0
1422582,23/02/2023,Colima,Colima,22/02/2023,Espacio público,1 - Familiar,SI,SI,NO,0,1,0,0,0,0
1423875,13/03/2023,Colima,Colima,12/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,1,0
1424057,27/03/2023,Colima,Cuauhtémoc,21/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,0,0,0,1,0
1424176,24/02/2023,Colima,Tecomán,14/02/2023,Espacio particular,1 - Familiar,NO,NO,NO,1,1,0,0,0,0
1424785,05/01/2023,Colima,Ciudad de Villa de ílvarez,30/12/2022,Espacio particular,1 - Familiar,SI,SI,NO,0,1,0,0,0,0
1425231,23/02/2023,Colima,Tecomán,19/02/2023,Espacio particular,1 - Familiar,SI,SI,NO,1,1,0,1,1,0
1425376,09/01/2023,Colima,Manzanillo,16/12/2022,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,1,1,1,0
1425904,10/01/2023,Colima,Manzanillo,02/01/2023,Espacio particular,1 - Familiar,SI,NO,NO,0,1,0,0,0,0
1426027,25/01/2023,Colima,Manzanillo,18/01/2023,Espacio particular,1 - Familiar,NO,NO,NO,1,1,0,0,0,0
1426823,01/02/2023,Colima,Tecomán,30/01/2023,Espacio particular,1 - Familiar,SI,NO,NO,1,1,1,1,1,0
1426880,21/03/2023,Colima,Colima,16/03/2023,Espacio particular,1 - Familiar,SI,NO,NO,0,1,1,0,0,0
1427475,21/02/2023,Colima,Ciudad de Villa de ílvarez,20/02/2023,Espacio particular,1 - Familiar,NO,SI,Desconocido,1,1,0,0,0,0
1427568,29/03/2023,Colima,Colima,27/03/2023,Espacio público,4 - En la comunidad,NO,Desconocido,Desconocido,0,1,0,0,0,0
1427667,24/02/2023,Colima,Colima,24/01/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1428401,27/02/2023,Colima,Colima,20/02/2023,Espacio particular,1 - Familiar,SI,SI,Desconocido,1,1,0,0,1,0
1428751,18/01/2023,Colima,Manzanillo,07/03/2022,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,1,1,1,0
1428868,27/02/2023,Colima,Colima,23/02/2023,Espacio particular,1 - Familiar,SI,NO,NO,0,1,0,1,1,0
1428891,09/02/2023,Colima,Manzanillo,02/08/2022,Espacio particular,1 - Familiar,SI,NO,NO,0,1,1,1,1,0
1429047,04/01/2023,Colima,Manzanillo,07/08/2022,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
