"ID","Fecha registro","Estado","Municipio","Fecha hechos","Lugar hechos","Modalidad violencia","Conoce agresor","Hubo drogas","Hubo armas","Violencia Física","Violencia Psicológica","Violencia Sexual","Violencia Patrimonial","Violencia Económica","Violencia Otra"
"1408345","2023-03-03","Jalisco","Jalostotitlán","2023-02-22","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","0","1","0","0","0","0"
"1408490","2023-03-08","Jalisco","Jalostotitlán","2023-02-22","Espacio particular","1 - Familiar","SI","SI","Desconocido","0","1","0","0","1","0"
"1408702","2023-03-03","Jalisco","Jalostotitlán","2023-02-22","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","0","1","0","0","0","0"
"1410482","2023-02-15","Jalisco","Villa Hidalgo","2023-02-09","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","1","0","0","0"
"1410926","2023-02-27","Jalisco","Jalostotitlán","2023-02-22","Espacio particular","1 - Familiar","SI","Desconocido","SI","1","1","1","1","1","0"
"1410952","2023-02-28","Jalisco","Jalostotitlán","2023-02-22","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1411979","2023-03-03","Jalisco","Villa Hidalgo","2023-03-01","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","1","0","0"
"1416376","2023-01-10","Jalisco","El Salto","2020-01-01","Espacio particular","1 - Familiar","SI","Desconocido","SI","0","1","0","0","1","0"
"1416472","2023-02-02","Jalisco","San Pedro Tlaquepaque","2023-01-26","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1416513","2023-03-11","Jalisco","Zapopan","2023-02-21","Espacio particular","1 - Familiar","SI","NO","NO","1","1","0","0","0","0"
"1416554","2023-01-12","Jalisco","El Salto","2022-12-28","Espacio particular","1 - Familiar","SI","SI","NO","0","1","0","0","0","0"
"1416674","2023-02-15","Jalisco","Zapopan","2023-02-10","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1416797","2023-01-30","Jalisco","San Pedro Tlaquepaque","2023-01-28","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","1","0","0","0"
"1416818","2023-02-02","Jalisco","Tlajomulco de Zúñiga","2023-01-21","Espacio particular","1 - Familiar","SI","NO","NO","0","1","0","0","0","0"
