"ID","Fecha registro","Estado","Municipio","Fecha hechos","Lugar hechos","Modalidad violencia","Conoce agresor","Hubo drogas","Hubo armas","Violencia Física","Violencia Psicológica","Violencia Sexual","Violencia Patrimonial","Violencia Económica","Violencia Otra"
"1411502","2023-03-22","Michoacán de Ocampo","Zamora","2023-03-11","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","1","1","0","0","0","0"
"1416455","2023-02-27","Michoacán de Ocampo","Hidalgo","2023-01-13","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","0","1","0","0","0","0"
"1416889","2023-01-10","Michoacán de Ocampo","Morelia","2022-12-11","Espacio particular","1 - Familiar","SI","SI","Desconocido","1","1","0","0","0","0"
"1417470","2023-02-07","Michoacán de Ocampo","Morelia","2023-02-07","Espacio particular","1 - Familiar","NO","NO","NO","0","1","0","0","0","0"
"1417562","2023-03-06","Michoacán de Ocampo","Morelia","2023-02-03","Espacio particular","1 - Familiar","NO","NO","NO","0","1","0","0","0","0"
"1417793","2023-01-18","Michoacán de Ocampo","Morelia","2022-12-05","Espacio particular","1 - Familiar","SI","NO","SI","1","1","0","0","0","0"
"1417937","2023-03-29","Michoacán de Ocampo","Morelia","2023-03-28","Espacio particular","1 - Familiar","SI","NO","NO","0","1","0","0","0","0"
"1418076","2023-01-18","Michoacán de Ocampo","Morelia","2022-12-17","Espacio público","1 - Familiar","SI","NO","NO","1","1","0","0","0","0"
"1418094","2023-03-09","Michoacán de Ocampo","Morelia","2023-03-04","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","1","0","0","0"
"1418251","2023-02-13","Michoacán de Ocampo","Cuitzeo","2020-11-29","Espacio público","9 - Feminicida","NO","Desconocido","Desconocido","1","0","0","0","0","0"
"1418476","2023-02-17","Michoacán de Ocampo","Morelia","2023-01-30","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","0","1","0","0","1","0"
"1418544","2023-02-22","Michoacán de Ocampo","Hidalgo","2023-02-15","Espacio particular","1 - Familiar","SI","NO","SI","1","1","0","0","0","0"
"1419256","2023-02-02","Michoacán de Ocampo","Quiroga","2023-02-02","Espacio particular","1 - Familiar","SI","Desconocido","NO","1","1","0","0","1","0"
"1419676","2023-03-22","Michoacán de Ocampo","Uruapan","2023-01-21","Espacio particular","1 - Familiar","SI","SI","NO","1","1","0","1","0","0"
"1419901","2023-03-28","Michoacán de Ocampo","Uruapan","2021-02-14","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","0","1","0","0","0"
"1420140","2023-03-30","Michoacán de Ocampo","Tangancí­cuaro","0000-00-00","Espacio particular","4 - En la comunidad","NO","Desconocido","Desconocido","0","1","0","0","0","0"
"1420248","2023-03-29","Michoacán de Ocampo","Morelia","2023-03-27","Espacio particular","1 - Familiar","SI","SI","Desconocido","1","1","0","1","1","0"
"1420331","2023-01-10","Michoacán de Ocampo","Tuxpan","2023-01-10","Espacio público","1 - Familiar","NO","Desconocido","Desconocido","0","1","0","0","0","0"
"1420882","2023-01-25","Michoacán de Ocampo","Morelia","2023-01-25","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","0","1","0","0","0","0"
"1421130","2023-03-31","Michoacán de Ocampo","Morelia","2023-03-31","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","0","1","0","0","0","0"
"1421419","2023-03-07","Michoacán de Ocampo","Morelia","2023-03-06","Espacio particular","1 - Familiar","SI","NO","NO","1","1","0","0","1","0"
"1421593","2023-03-27","Michoacán de Ocampo","Morelia","2023-03-24","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1421724","2023-03-10","Michoacán de Ocampo","Morelia","2023-03-06","Espacio particular","1 - Familiar","SI","SI","NO","0","0","0","1","1","0"
"1422482","2023-03-08","Michoacán de Ocampo","Morelia","2023-03-07","Espacio particular","8 - Digital/Ciberné","SI","Desconocido","Desconocido","0","1","1","0","0","0"
"1422618","2023-02-28","Michoacán de Ocampo","Morelia","2023-01-17","Espacio particular","1 - Familiar","SI","NO","NO","0","1","0","0","0","0"
"1423028","2023-02-20","Michoacán de Ocampo","Zamora","2023-02-16","Espacio particular","4 - En la comunidad","NO","Desconocido","Desconocido","0","0","0","1","0","0"
"1423115","2023-03-29","Michoacán de Ocampo","Morelia","2023-03-28","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","1","0"
"1423233","2023-03-17","Michoacán de Ocampo","Morelia","2023-03-21","Espacio particular","1 - Familiar","SI","SI","Desconocido","0","1","0","0","0","0"
"1423364","2023-02-23","Michoacán de Ocampo","Huetamo","2022-10-10","Espacio particular","1 - Familiar","SI","NO","NO","0","0","0","0","1","0"
"1423443","2023-02-28","Michoacán de Ocampo","Zamora","2023-01-01","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","0","1","0","1","0","0"
"1423468","2023-02-28","Michoacán de Ocampo","Uruapan","2022-09-28","Espacio particular","1 - Familiar","NO","NO","NO","0","0","0","0","1","1"
